0;0;0;0;land;false;unknown;0
1;230;81;119;lake;false;lakes;7
2;0;0;55;land;false;forest;1
4;0;0;232;sea;true;ocean;0
5;0;2;240;sea;false;ocean;0
6;0;3;20;land;false;forest;6
8;0;3;225;land;false;hills;1
9;0;4;248;sea;false;ocean;0
10;0;6;85;land;false;forest;1
13;0;8;244;sea;false;ocean;0
14;0;9;155;land;true;plains;1
15;0;9;200;land;false;forest;1
16;0;10;232;sea;true;ocean;0
17;0;12;15;land;false;plains;1
19;0;12;240;sea;false;ocean;0
20;0;14;248;sea;true;ocean;0
21;0;15;80;land;true;mountain;1
22;0;15;130;land;true;mountain;1
24;0;15;236;sea;true;ocean;0
25;0;17;244;sea;false;ocean;0
27;0;18;150;land;false;hills;1
28;0;19;240;sea;true;ocean;0
29;0;20;248;sea;false;ocean;0
30;0;21;10;land;false;forest;1
33;0;22;236;sea;false;ocean;0
34;0;23;244;sea;true;ocean;0
36;0;24;75;land;false;marsh;1
38;0;27;40;land;true;mountain;1
39;0;27;95;land;false;forest;1
41;0;27;248;sea;false;ocean;0
42;0;28;236;sea;false;ocean;0
43;0;29;244;sea;false;ocean;0
44;0;30;5;land;true;mountain;1
47;0;31;232;sea;false;ocean;0
48;0;32;240;sea;true;ocean;0
50;0;33;248;sea;false;ocean;0
51;0;34;236;sea;false;ocean;0
53;0;36;195;land;true;plains;1
54;0;36;244;sea;false;ocean;0
55;0;37;232;sea;false;ocean;0
56;0;38;240;sea;false;ocean;0
59;0;39;248;sea;false;ocean;0
62;0;42;225;land;false;forest;1
64;0;45;135;land;true;plains;1
65;0;45;190;land;true;mountain;1
66;0;48;50;land;true;plains;1
68;0;51;15;land;true;plains;1
71;0;54;35;land;false;forest;1
72;0;54;185;land;false;forest;1
75;0;57;150;land;false;forest;1
78;0;60;215;land;false;desert;7
80;0;63;180;land;false;forest;1
81;0;66;95;land;false;forest;1
83;0;66;200;land;true;plains;1
84;0;69;60;land;false;plains;6
85;0;69;165;land;false;forest;1
86;0;69;210;land;true;forest;1
87;0;72;25;land;false;forest;6
88;0;72;130;land;false;forest;6
91;0;75;140;land;true;mountain;1
93;0;78;160;land;false;plains;1
95;0;81;75;land;false;marsh;1
96;0;81;225;land;false;marsh;6
97;0;84;40;land;false;forest;1
99;0;84;190;land;false;forest;6
100;0;87;5;land;false;forest;1
102;0;87;155;land;false;mountain;1
105;0;90;220;land;true;forest;6
106;0;93;35;land;false;forest;1
107;0;93;185;land;true;hills;1
108;0;96;0;land;false;forest;6
110;0;96;205;land;false;forest;1
111;0;99;65;land;false;mountain;1
115;0;105;95;land;false;mountain;1
117;0;105;200;land;false;forest;1
121;0;111;80;land;false;urban;1
122;0;111;130;land;true;hills;1
123;0;114;45;land;false;plains;6
127;0;117;55;land;false;forest;1
129;0;120;75;land;false;forest;1
130;0;120;225;land;true;forest;1
131;0;123;40;land;true;mountain;1
134;0;126;155;land;false;forest;1
137;0;129;175;land;true;plains;1
140;0;132;185;land;false;plains;1
143;0;135;205;land;false;forest;1
144;0;138;170;land;false;forest;1
145;0;141;30;land;false;forest;1
150;0;147;15;land;false;forest;1
153;0;150;25;land;true;plains;3
157;0;153;195;land;false;forest;1
159;0;156;215;land;false;mountain;1
160;0;159;75;land;false;forest;1
164;0;162;145;land;false;forest;1
167;0;165;155;land;false;forest;1
168;0;168;70;land;false;mountain;1
170;0;171;35;land;false;forest;1
171;0;171;90;land;true;forest;1
172;0;171;140;land;false;forest;1
173;0;174;0;land;false;mountain;1
174;0;174;205;land;false;forest;1
177;0;177;170;land;true;plains;3
178;0;180;30;land;false;mountain;1
